model,seed,generation,evaluations,best_objective_m,median_objective_m,mean_objective_m
TMSFF,43,23,2400,1.818888172739933,1.8213451621677594,1.9109057117729487
TMSFF,43,24,2500,1.817753362826995,1.8212028240841485,1.830817682595311
TMSFF,43,25,2600,1.817753362826995,1.8213451621677594,1.8418301280523355
TMSFF,43,26,2700,1.817753362826995,1.8213451621677594,1.8410017344692309
TMSFF,43,27,2800,1.817753362826995,1.821139901942095,1.832259837493436
TMSFF,43,28,2900,1.8151322628576732,1.8190949563865668,1.8453268232108635
TMSFF,43,29,3000,1.8151322628576732,1.818888172739933,1.8398329703842784
TMSFF,43,30,3100,1.8150729139550437,1.8177922508743432,1.833735592002245
TMSFF,43,31,3200,1.8150318250291326,1.8155071659140432,1.8188254752958333
TMSFF,43,32,3300,1.8146224126570811,1.8151322628576732,1.8519737249908501
TMSFF,43,33,3400,1.8146224126570811,1.8151322628576732,1.8216226599584053
TMSFF,43,34,3500,1.8142790316514348,1.8151322628576732,1.8385128152042598
TMSFF,43,35,3600,1.8142790316514348,1.8150318250291326,1.8192801498941278
TMSFF,43,36,3700,1.8141342838669188,1.8150318250291326,1.8175745472284006
TMSFF,43,37,3800,1.8141306386463556,1.8149280774653567,1.8256113646779577
TMSFF,43,38,3900,1.8141306386463556,1.8145583083345875,1.8317188670763043
TMSFF,43,39,4000,1.8133935950747124,1.814170109203837,1.8549192159223038
TMSFF,43,40,4100,1.8133935950747124,1.8141342838669188,1.8799671050774065
TMSFF,43,41,4200,1.8133935950747124,1.8141245864911246,1.8431947098352677
TMSFF,43,42,4300,1.8133935950747124,1.813703273374387,1.8878361469587432
TMSFF,43,43,4400,1.8133935950747124,1.813680241943244,1.8392639205192853
TMSFF,43,44,4500,1.8133935950747124,1.8135754872931376,1.821374334644973
TMSFF,43,45,4600,1.8133935950747124,1.8134731595217204,1.8183954440941263
TMSFF,43,46,4700,1.8133935950747124,1.8133935950747124,1.8205237561904286
TMSFF,43,47,4800,1.8133935950747124,1.8133935950747124,1.848618735115164
TMSFF,43,48,4900,1.8133935950747124,1.8133935950747124,1.8187016987387343
TMSFF,43,49,5000,1.8133935950747124,1.8133935950747124,1.8309913409388308
TMSFF,43,50,5100,1.8133935758731654,1.8133935950747124,1.8566791452239744
TMSFF,43,51,5200,1.813384289382309,1.8133935950747124,1.8296009520607135
TMSFF,43,52,5300,1.8133645836419718,1.8133935950747124,1.831807939245126
TMSFF,43,53,5400,1.8133645836419718,1.8133935950747124,1.862760489878912
TMSFF,43,54,5500,1.8133349854676053,1.8133935950747124,1.8581046056087789
TMSFF,43,55,5600,1.8133349854676053,1.8133935758731654,1.92364425132468
TMSFF,43,56,5700,1.8133349854676053,1.813384289382309,1.824680649128121
TMSFF,43,57,5800,1.8133349854676053,1.813384289382309,1.8182318819531813
TMSFF,43,58,5900,1.8133349854676053,1.8133744365121403,1.8202847689002641
