x1,y1,x2,y2,v1,v2,a1,a2,c1,c2,s1,s2
25.79305458,43.73592532,5.95490408,27.61110842,7.748839498796263,7.854413159385574,-0.3029733477555929,-0.4132305501168698,0.9541877271052379,0.42454293116722325,49.82428048586605,24.29256949940672
26.24114799,44.36810997,6.67061949,27.9346351,7.718542164020704,7.813090104373887,-0.059396137882821165,-0.6329658383255232,0.9741341300124835,0.4395184497123524,50.59917690750649,25.078018275840858
26.67484093,45.00659988,7.37767029,28.267085,7.712602550232422,7.749793520541335,0.21709508231471553,-0.7926869355748956,0.99457993656818,0.4542633931968755,51.37104427213856,25.859334476677724
27.09506607,45.65332487,8.07405472,28.60714635,7.734312058463893,7.670524826983845,0.5243235082500242,-0.8614773523880981,1.0153954979252042,0.4687928772838351,52.142318231171316,26.634320741579458
27.50288391,46.31050098,8.75835323,28.95370812,7.786744409288896,7.5843770917450355,0.858253684847119,-0.8329774086238206,1.0364523219574702,0.4831354536564249,52.915763580344226,27.40137988086414
27.89944458,46.98063046,9.42998219,29.30604645,7.872569777773608,7.501079350882653,1.1992554853354953,-0.7093594248697777,1.0576284330456966,0.4973345369887991,53.694452514552516,28.15982401920413
28.28594017,47.66648373,10.08922005,29.66391145,7.992495326307157,7.430143408395676,1.5496663325326132,-0.5089907532096571,1.078809040463055,0.5114477881943936,54.48172422059571,28.909938202639903
28.66348839,48.37093895,10.73715591,30.0275726,8.147461959560419,7.37924433307471,1.875305316882372,-0.259715741758928,1.0998867001021368,0.525545276027952,55.280988643616176,29.652958691995707
29.03313637,49.09700488,11.37549782,30.39777805,8.334992491248656,7.353272758898817,2.1626345866111407,0.0017428429884880359,1.1207586674314183,0.5397055766601818,56.09574979283305,30.390889248345697
29.39570808,49.84751321,12.00630569,30.77565056,8.55125594990977,7.353447043197666,2.370494932339735,0.23499375027493663,1.1413227569745337,0.5540105990132499,56.9292639688234,31.12622271479148
29.75177574,50.62498064,12.63165855,31.16251699,8.788305443143743,7.37694641822516,2.498995278008991,0.4249216797601818,1.161473878308471,0.5685387117642091,57.784404359175475,31.861573768287805
30.10153961,51.4312116,13.25330544,31.55969268,9.038204970944642,7.419438586201178,2.511416763401275,0.5720075305422601,1.1811041747809043,0.5833594846234486,58.66324941831759,32.59927501796073
30.44490433,52.26726911,13.87254429,31.9683783,9.28934664728477,7.476639339255404,2.4167167122948285,0.6855682726299772,1.2001054018675326,0.5985315075085056,59.5670839982352,33.34122581609063
30.78141975,53.133108,14.49023724,32.38963449,9.531018318514253,7.5451961665184015,2.212234158191162,0.7995068092115609,1.2183729937704733,0.6141025582917923,60.4960321331865,34.08889710648401
31.11040497,54.02763124,15.10689926,32.82440777,9.752241734333369,7.625146847439558,1.9073254173038023,0.9287164480731303,1.2358131581708232,0.6301127410837979,61.44914665615677,34.843424549542384
31.43101311,54.9486484,15.72298145,33.27370876,9.94297427606375,7.718018492246871,1.557278582295698,1.1053579374337996,1.2523479388576186,0.6465989010910729,62.42438257521999,35.60594761494699
31.74232101,55.8929549,16.33898544,33.73870035,10.098702134293319,7.828554285990251,1.1722837369209138,1.3102270389698578,1.2679223837763278,0.6635988977297498,63.418690698275284,36.37775846534767
32.04352951,56.85685909,16.95570374,34.22090483,10.21593050798541,7.959576989887236,0.804439033742117,1.5326292325363244,1.2825077055544594,0.6811527660082318,64.42857049528104,37.16062362115753
32.33398056,57.83629288,17.57404137,34.72211061,10.296374411359622,8.112839913140869,0.47091222298361046,1.731454484862116,1.2961009038684264,0.6992987185576309,65.45017199869065,37.95659187734878
32.61327362,58.82732701,18.19491196,35.24431883,10.343465633657983,8.28598536162708,0.2259233274989647,1.8715586005147244,1.3087227926004203,0.7180661489742246,66.4798168028722,38.76788737172374
32.8812561,59.82635564,18.81891251,35.7894783,10.36605796640788,8.473141221678553,0.046655892507576624,1.9221781257452264,1.320414787624358,0.7374652411593039,67.51416973060857,39.596498482671265
33.13809967,60.83063795,19.44607353,36.3592241,10.370723555658637,8.665359034253076,-0.0302341268868922,1.860003699457149,1.3312332356909273,0.7574771092875973,68.55078098833445,40.44382631640688
33.38417435,61.83809332,20.07567406,36.95461275,10.367700142969948,8.85135940419879,-0.04948446098918424,1.6954571124733597,1.341243816591609,0.7780460190655261,69.5878580213942,41.31037711235512
33.62008286,62.84766711,20.70614433,37.5758799,10.36275169687103,9.020905115446126,-0.0073465300785890975,1.4605026568747803,1.3505164398673641,0.7990772720710735,70.62463204865999,42.195529040459846
33.84651184,63.85890207,21.33523369,38.22241982,10.36201704386317,9.166955381133604,0.06911112245559181,1.192237528886153,1.3591202776959848,0.820443909574218,71.66091065331999,43.097636491361854
