time_s,model,s_m,v_mps,a_mps2,gap_m
66.9,T-IDM,649.4500744562912,8.931654483703557,-0.015000743742011631,27.84522668967122
67.0,T-IDM,650.3431649009428,8.930154409329356,0.008901213929775728,27.839647814370892
67.10000000000001,T-IDM,651.2362248479454,8.931044530722334,-0.004505023940694775,27.83119017367426
67.2,T-IDM,652.129306775898,8.930594028328263,-0.02107840773715,27.818873154685548
67.3,T-IDM,653.0222607866922,8.92848618755455,0.033194526955280426,27.82027599313801
67.4,T-IDM,653.9152753780825,8.931805640250078,0.005320010703431265,27.815300315615673
67.5,T-IDM,654.808482542161,8.932337641320421,0.049469723508630103,27.821520915108636
67.60000000000001,T-IDM,655.7019636549105,8.937284613671284,0.04958871582616503,27.828292705877743
67.7,T-IDM,656.5959400598567,8.9422434852539,0.05747671134158714,27.837342173414527
67.8,T-IDM,657.4904517919389,8.94799115638806,0.05700579594087703,27.846593441268965
67.9,T-IDM,658.3855359365574,8.953691735982147,0.08771704874762459,27.863898108447074
68.0,T-IDM,659.2813436953993,8.96246344085691,0.09724278269771174,27.88406550423315
68.10000000000001,T-IDM,660.1780762533986,8.972187719126682,0.07475365634248202,27.898829790159994
68.2,T-IDM,661.075668793593,8.97966308476093,0.0699308071261969,27.91250724061365
68.3,T-IDM,661.9739847561046,8.98665616547355,0.08464859306730503,27.930135261773444
68.4,T-IDM,662.8730736156173,8.99512102478028,0.08963744676489864,27.949345542274727
68.5,T-IDM,663.7730339053292,9.004084769456771,0.11952610654952048,27.97646973368842
68.60000000000001,T-IDM,664.6740400128076,9.016037380111722,0.12029527079910549,28.004188125013798
68.7,T-IDM,665.5762452271728,9.028066907191633,0.14215377929353448,28.03779769094274
68.8,T-IDM,666.4797626867885,9.042282285120987,0.13186238516112544,28.069100844280115
68.9,T-IDM,667.3846502272264,9.0554685236371,0.14720238764426966,28.104564037983778
69.0,T-IDM,668.2909330915284,9.070188762401527,0.1362476002735063,28.137500507508094
69.10000000000001,T-IDM,669.1986332057699,9.083813522428878,0.1336378292746033,28.169930631138982
69.2,T-IDM,670.1076827471592,9.097177305356338,0.12311592420327697,28.199840822988335
69.3,T-IDM,671.0180160573158,9.109488897776666,0.09337428041077381,28.222243044333027
69.4,T-IDM,671.9294318184955,9.118826325817743,0.11200265613238854,28.249453758775985
69.5,T-IDM,672.8418744643578,9.130026591430981,0.12354500726918718,28.279920038844807
69.60000000000001,T-IDM,673.7554948485373,9.1423810921579,0.13809163638744407,28.314405384943143
69.7,T-IDM,674.670423415935,9.156190255796643,0.12822642597373254,28.346596184780765
69.8,T-IDM,675.5866835736446,9.169012898394016,0.1549576189096711,28.38588688338791
69.9,T-IDM,676.5043596515785,9.184508660284983,0.13998648830828805,28.42160462767697
70.0,T-IDM,677.4235104500485,9.198507309115811,0.13722804949651313,28.456713981368807
70.10000000000001,T-IDM,678.3440473212075,9.212230114065463,0.10640035546978666,28.48398476201271
70.2,T-IDM,679.2658023343915,9.222870149612442,0.09523101819282599,28.50835926677314
70.3,T-IDM,680.1885655044438,9.232393251431725,0.10373940599910347,28.534999469812306
70.4,T-IDM,681.1123235266169,9.242767192031636,0.09947068425272583,28.560710500808796
70.5,T-IDM,682.0370975992413,9.252714260456909,0.0933429511346722,28.584941509007194
70.60000000000001,T-IDM,682.9628357400427,9.262048555570376,0.09381429605975988,28.60937659949502
70.7,T-IDM,683.88950966708,9.27142998517635,0.09246372354222918,28.63357620824172
70.8,T-IDM,684.8171149842153,9.280676357530574,0.06669477808043717,28.651246280934856
70.9,T-IDM,685.7455160938588,9.287345835338618,0.06227717560430167,28.667727701547506
71.0,T-IDM,686.6745620632706,9.293573552899048,0.056717052988037184,28.682828576308566
71.10000000000001,T-IDM,687.6042030038254,9.299245258197852,0.0658182583383715,28.700288392168204
71.2,T-IDM,688.5344566209369,9.305827084031689,0.042514484431333106,28.711900860121204
71.3,T-IDM,689.4652519017623,9.310078532474822,0.047436463465441545,28.724686221948446
71.4,T-IDM,690.396496937327,9.314822178821366,0.0371075805335194,28.73490236916814
71.5,T-IDM,691.3281646931118,9.318532936874718,0.0500031952090269,28.74838105554909
71.60000000000001,T-IDM,692.2602680027753,9.32353325639562,0.06042274470207644,28.764632636895158
71.7,T-IDM,693.1929234421384,9.329575530865828,0.032023534385433136,28.773735930894986
71.8,T-IDM,694.1260411128969,9.332777884304372,0.013763093733231051,28.77807783620233
71.9,T-IDM,695.0593877167961,9.334154193677696,0.012962576641985794,28.782115586715463
72.0,T-IDM,695.9928679490471,9.335450451341895,0.012962576641985794,28.7878363997296
0.0,C-FVD,12.980833910669062,8.7,-1.8097447817980283,23.0
0.1,C-FVD,13.841785186760072,8.519025521820197,-0.8427084013843182,23.12551222029586
0.2,C-FVD,14.689474196935171,8.434754681681765,-0.18445129283520778,23.268957710714233
0.30000000000000004,C-FVD,15.532027408639172,8.416309552398245,0.22077741410066265,23.419609674267235
0.4,C-FVD,16.374762250949498,8.438387293808312,0.54698438158773,23.575075002558403
0.5,C-FVD,17.221335902238266,8.493085731967085,0.7101127584254592,23.728822094389002
0.6000000000000001,C-FVD,18.074195039227103,8.56409700780963,0.8178334109435987,23.878880805217893
