model,seed,generation,best_rmse_m,median_rmse_m,mean_rmse_m
T-IDM,43,76,0.21329753432595794,0.21338253995175316,0.2220034407969829
T-IDM,43,77,0.21313108086287005,0.2133577182832577,0.2201330545456407
T-IDM,43,78,0.21313108086287005,0.2133304522128248,0.21880879658723565
T-IDM,43,79,0.21313108086287005,0.21332254922599858,0.21728448801616962
T-IDM,43,80,0.21312946811061864,0.21330337256154938,0.225591702331449
T-IDM,44,0,0.3285577384688439,2.8825207902260788,3.3578487862210067
T-IDM,44,1,0.28131251329372425,1.5338207203367822,1.952355004977712
T-IDM,44,2,0.28131251329372425,1.1396432699169685,1.3022144008908703
T-IDM,44,3,0.2654610430716161,0.7636296827173483,1.1019852367527248
T-IDM,44,4,0.2654610430716161,0.556519649728173,0.8045261789157329
T-IDM,44,5,0.25833425368370366,0.6077836881003673,0.9180960051314263
T-IDM,44,6,0.24728904922270714,0.553577700905554,1.1238649663137195
T-IDM,44,7,0.24728904922270714,0.5344899496078667,1.0613235144204418
T-IDM,44,8,0.24657132593563208,0.49625588541022825,0.9387552493479628
T-IDM,44,9,0.24651488448756104,0.3638615793619949,0.6046563112759129
T-IDM,44,10,0.24534797000075548,0.33572148637953264,0.4705982717653581
T-IDM,44,11,0.23881674495080496,0.2828369382541147,0.3331129444391012
T-IDM,44,12,0.23833266025925537,0.25717069550832206,0.2993598973602608
T-IDM,44,13,0.2378663401045998,0.256650518514128,0.28746270389951173
T-IDM,44,14,0.2378663401045998,0.25403359087432187,0.2841789392812315
T-IDM,44,15,0.23674513701603214,0.24830181453830938,0.2713890159808451
T-IDM,44,16,0.23667417447889735,0.24654714402171424,0.2614010625529601
T-IDM,44,17,0.23667417447889735,0.24223048140559283,0.2507835790248404
T-IDM,44,18,0.2340403538848856,0.2384369617842293,0.25249363674582254
T-IDM,44,19,0.2340403538848856,0.2370633971987362,0.2488428762850782
T-IDM,44,20,0.2340403538848856,0.2370633971987362,0.23964315047466297
T-IDM,44,21,0.2340403538848856,0.23674513701603214,0.24138770902813597
T-IDM,44,22,0.2340403538848856,0.23674513701603214,0.2460007663692385
T-IDM,44,23,0.2340403538848856,0.23674513701603214,0.23857916124786183
T-IDM,44,24,0.23337493168223408,0.23666286247715076,0.2475253862637087
T-IDM,44,25,0.23337493168223408,0.23610955839847683,0.2410781850500703
T-IDM,44,26,0.23337493168223408,0.23558173697163046,0.24536273176608345
T-IDM,44,27,0.2317077420624478,0.2340403538848856,0.24327162167712216
T-IDM,44,28,0.2316519881669263,0.2340403538848856,0.23877819792866006
T-IDM,44,29,0.2316519881669263,0.23394544814798218,0.24463720706133196
T-IDM,44,30,0.2315325334513448,0.23337493168223408,0.23927299885887532
T-IDM,44,31,0.2315325334513448,0.23318127085580104,0.2370739990357904
T-IDM,44,32,0.2315325334513448,0.2317077420624478,0.24465061871395435
T-IDM,44,33,0.2315325334513448,0.23163071573999786,0.2480334331415282
T-IDM,44,34,0.23083864050523245,0.23162167938926576,0.23784496822768145
T-IDM,44,35,0.23083864050523245,0.23161264303853366,0.2532692553887803
T-IDM,44,36,0.23083864050523245,0.2315325334513448,0.23379050213534122
T-IDM,44,37,0.23083864050523245,0.2315325334513448,0.2399505918815041
T-IDM,44,38,0.2301430179329381,0.2315163741178753,0.23803881343462785
T-IDM,44,39,0.2301430179329381,0.23083864050523245,0.23761763524229468
T-IDM,44,40,0.22981059656074657,0.23083864050523245,0.24021990001616114
T-IDM,44,41,0.22981059656074657,0.23046980524794972,0.249016433926512
T-IDM,44,42,0.22981059656074657,0.23015006334766244,0.23636540103411083
T-IDM,44,43,0.22976274051403478,0.2301430179329381,0.24064542067549044
T-IDM,44,44,0.22976274051403478,0.23008161545640785,0.23944942896321555
T-IDM,44,45,0.2297561824945852,0.22988381194012705,0.23600253688192013
T-IDM,44,46,0.2297561824945852,0.22976274051403478,0.2346478420499345
T-IDM,44,47,0.22973935947079072,0.22976274051403478,0.2420533475773065
T-IDM,44,48,0.22973393817977014,0.22976274051403478,0.23905786071767843
T-IDM,44,49,0.22973393817977014,0.2297584052366965,0.23841550590117955
T-IDM,44,50,0.22971194738145925,0.2297561824945852,0.23597356642552791
T-IDM,44,51,0.22971158743418302,0.22973935947079072,0.23698147057649666
T-IDM,44,52,0.22966819918305853,0.22973935947079072,0.24819410950096354
T-IDM,44,53,0.22966819918305853,0.22971970419479512,0.2450132365313799
T-IDM,44,54,0.22966819918305853,0.22971194738145925,0.24424873586167611
T-IDM,44,55,0.22966819918305853,0.22968778060631154,0.24082278397694862
T-IDM,44,56,0.22966819918305853,0.2296859388430388,0.23246268722206115
T-IDM,44,57,0.22966819918305853,0.22966819918305853,0.23066697144294487
T-IDM,44,58,0.22966733373045314,0.22966819918305853,0.23745292942000348
T-IDM,44,59,0.22966733373045314,0.22966819918305853,0.25060179869694904
T-IDM,44,60,0.22966733373045314,0.22966819918305853,0.23484026948981365
T-IDM,44,61,0.22966733373045314,0.22966819918305853,0.24175828177350994
T-IDM,44,62,0.22966733373045314,0.22966733373045314,0.2367643024263637
T-IDM,44,63,0.22966733373045314,0.22966733373045314,0.23580909299500477
T-IDM,44,64,0.22966687166314326,0.22966733373045314,0.23912856639540414
T-IDM,44,65,0.22966687166314326,0.22966733373045314,0.25649407207159475
T-IDM,44,66,0.22966677523370596,0.22966733373045314,0.23822126023647325
T-IDM,44,67,0.22966677523370596,0.2296673225856833,0.23998595937347914
T-IDM,44,68,0.22964991364595133,0.22966687166314326,0.24181377547523386
T-IDM,44,69,0.22964985827944456,0.22966686055113678,0.24051825223272325
T-IDM,44,70,0.2296494317850977,0.22966677523370596,0.2397299069885309
T-IDM,44,71,0.2296134504114775,0.2296667510289494,0.24182232838457016
T-IDM,44,72,0.22961344107138756,0.22964986341054544,0.24068985688381933
T-IDM,44,73,0.22961344107138756,0.22964985827944456,0.23150154820404553
T-IDM,44,74,0.22928444088741193,0.22964983885378976,0.24291208400268974
T-IDM,44,75,0.2290226744178095,0.2296134504114775,0.23991327212321115
T-IDM,44,76,0.22902266705873794,0.22961344107138756,0.23501550594231213
T-IDM,44,77,0.2276724477229688,0.22961344107138756,0.23811241221554905
T-IDM,44,78,0.2276724477229688,0.22961344107138756,0.23775456144363993
T-IDM,44,79,0.2276724477229688,0.22961344107138756,0.23814719865840783
T-IDM,44,80,0.2276724477229688,0.2296364453153994,0.23761899593094837
T-IDM,45,0,0.26261854393341716,3.3115462785578598,3.305467249200358
T-IDM,45,1,0.2615502297645788,1.3965100135648847,1.7848522086138063
T-IDM,45,2,0.2304389359049564,0.6749026018317392,1.019518781762462
T-IDM,45,3,0.2304389359049564,0.6415582946385417,0.85247000640802
T-IDM,45,4,0.2304389359049564,0.5959893872920776,0.9690978116698983
T-IDM,45,5,0.22988476399440944,0.35222622793647157,0.7188645319082346
T-IDM,45,6,0.22790427497556973,0.2860261566256771,0.40851676555685557
T-IDM,45,7,0.22790427497556973,0.2583460492674603,0.45313597510721637
T-IDM,45,8,0.22537400110153064,0.24133483938338296,0.26852504271144706
T-IDM,45,9,0.22537400110153064,0.23343566367566423,0.2506609714607061
T-IDM,45,10,0.22440862829853886,0.2310477988205965,0.2445375798426127
T-IDM,45,11,0.22440862829853886,0.23049151660877054,0.2600685490045623
T-IDM,45,12,0.22052437831936536,0.2299694756645308,0.23624092767769528
T-IDM,45,13,0.22052437831936536,0.2283227438464996,0.23867225719192778
T-IDM,45,14,0.22052437831936536,0.2276509133044059,0.2475072271899156
T-IDM,45,15,0.22052437831936536,0.2259575246810175,0.23521709371874602
T-IDM,45,16,0.21992360281824622,0.2259575246810175,0.2376770304753228
T-IDM,45,17,0.2187021431138414,0.22537400110153064,0.25460999712311977
T-IDM,45,18,0.2187021431138414,0.22052437831936536,0.23145132084160866
T-IDM,45,19,0.2187021431138414,0.22019071248612387,0.23225507135503218
T-IDM,45,20,0.2187021431138414,0.21992360281824622,0.22613559805253455
T-IDM,45,21,0.21861605657031688,0.21992360281824622,0.22504610203659794
T-IDM,45,22,0.21860481927325698,0.21946948581161885,0.23260454672760367
T-IDM,45,23,0.21860481927325698,0.2187145001731252,0.22368306561486154
T-IDM,45,24,0.21857676874149715,0.2187021431138414,0.22307927643612666
T-IDM,45,25,0.2180403012258939,0.21861605657031688,0.23458212922074118
T-IDM,45,26,0.2148008062385583,0.21861605657031688,0.2219443723096453
T-IDM,45,27,0.21360312889588198,0.21860481927325698,0.2274374916221701
T-IDM,45,28,0.21360312889588198,0.21840301928729933,0.22740349703540083
T-IDM,45,29,0.21360312889588198,0.21811121786558674,0.22358067256964131
T-IDM,45,30,0.21360312889588198,0.21818462145830717,0.23150511673589422
T-IDM,45,31,0.21360312889588198,0.2180403012258939,0.2245451836641533
T-IDM,45,32,0.21360312889588198,0.21768884381676185,0.2231399399532056
T-IDM,45,33,0.21309939899370772,0.21440950570104866,0.227549128852063
T-IDM,45,34,0.21297062595589267,0.21372878050616173,0.23262096546051647
T-IDM,45,35,0.21293958990561573,0.21372878050616173,0.21953839727964197
T-IDM,45,36,0.21293958990561573,0.21360312889588198,0.220627305034681
T-IDM,45,37,0.21277906626759843,0.21360312889588198,0.23019524667316585
T-IDM,45,38,0.212423771065558,0.21302086964161968,0.21883118630376885
T-IDM,45,39,0.212423771065558,0.21297062595589267,0.21820096335512867
T-IDM,45,40,0.212423771065558,0.21293958990561573,0.21667298907160024
T-IDM,45,41,0.212423771065558,0.21259479665415654,0.2167129527325497
T-IDM,45,42,0.20848518469822624,0.21250975984976886,0.21577813066244628
T-IDM,45,43,0.20848518469822624,0.212423771065558,0.22585059266963678
T-IDM,45,44,0.20561326689278356,0.212423771065558,0.21978167447681682
T-IDM,45,45,0.20560442849546284,0.212423771065558,0.23762442448073895
T-IDM,45,46,0.20560442849546284,0.21241485894148687,0.22011780619571397
T-IDM,45,47,0.20560442849546284,0.21238332480594926,0.2232235691329712
T-IDM,45,48,0.2052012002144173,0.20660578161421672,0.22395752121194612
T-IDM,45,49,0.2052012002144173,0.20561115040340078,0.21621459896972148
T-IDM,45,50,0.2052012002144173,0.20560442849546284,0.21273882623391288
T-IDM,45,51,0.20520117401262578,0.2056012981963929,0.21542889261451403
T-IDM,45,52,0.20520117401262578,0.20557771447697093,0.2124569694055472
T-IDM,45,53,0.2046110065103923,0.2052012002144173,0.21918156591407933
T-IDM,45,54,0.2046110065103923,0.20520117609394214,0.20751977123246448
T-IDM,45,55,0.2046110065103923,0.20520117401262578,0.21600175835573804
T-IDM,45,56,0.2046110065103923,0.20520117401262578,0.22256619730658805
