time_s,model,s_m,v_mps,a_mps2,offset_m,x_m,y_m,gap_m,leader_s_m,leader_v_mps,leader_a_mps2,spacing_error_m,jerk_mps3
1.7,C-FVD,-1.0818694619172806,5.742283878221449,-0.623678472863374,-0.1388516860693851,-1.0632637441480748,0.9370948125808052,21.299534044391677,20.2176645824744,6.08646842495022,-0.241945720504152,-0.7004659556083226,0.6917722081625033
1.8,C-FVD,-0.5104309670867304,5.686486018389546,-0.5579785983190237,-0.134130728743026,-0.4926450319835439,1.0186089392951936,21.33553266345363,20.8251016963669,6.0622738528998,-0.22610732291466,-0.6644673365463696,0.6130977606296245
1.9,C-FVD,0.055712340148536175,5.636380126315801,-0.5010589207374491,-0.12957028396576312,0.07270749704882191,1.0984298281573286,21.374486204893763,21.4301985450423,6.03966312060834,-0.191243493259167,-0.6255137951062366,0.5506830708034002
2.0,C-FVD,0.6171111428593251,5.5915959278999665,-0.4478419841583437,-0.12516489431092717,0.6333437947429542,1.1766282227448261,21.416097496777475,22.0332086396368,6.02053877128242,-0.138339243455039,-0.5839025032225251,0.520534129693351
2.1,C-FVD,1.1742859751753283,5.551900718420089,-0.39695209479877885,-0.12090928790435565,1.1897836484451434,1.2532693772121435,21.46028484537247,22.6345708205478,6.00670484693692,-0.0121635049846021,-0.5397151546275296,0.5035850663752963
2.2,C-FVD,1.7277404221629211,5.51718822133176,-0.3471249708832844,-0.11679837211560755,1.742529883702546,1.3284147140289992,21.50744006555368,23.2351804877166,6.00548849643846,0.117244729582866,-0.4925599344463194,0.5156278171723135
2.3,C-FVD,2.2779901116392733,5.487805568195329,-0.29382653136431613,-0.1128272274636769,2.2920973526266324,1.4021253740486608,21.558325449369026,23.8363155610083,6.01721296939674,0.246140048126215,-0.4416745506309745,0.5511347377490763
2.4,C-FVD,2.825586178342139,5.464115765861982,-0.23689802333346915,-0.10899110172991189,2.8390363959310227,1.4744648116492032,21.61368137984646,24.4392675581886,6.04182697420937,0.415119734531284,-0.38631862015353846,0.587044735216582
2.5,C-FVD,3.371115667006733,5.446474007429883,-0.17641758432099974,-0.10528540427109488,3.383933251169092,1.5454983263247375,21.674410187275466,25.0455258542822,6.08333894766249,0.598779449784878,-0.3255898127245338,0.6343634363534223
2.6,C-FVD,3.915212941069408,5.435471473823604,-0.1100253360627847,-0.10170570052587766,3.927421462637192,1.6152939090688927,21.74164070522799,25.6568536462974,6.14321689264098,0.807547225481954,-0.2583592947720099,0.6972127378393935
2.7,C-FVD,4.458575213268004,5.431773970148292,-0.03697503675312103,-0.09824770670799782,4.470197411694588,1.6839234440735673,21.816637858420897,26.2752130716889,6.22397161518918,0.980910360530213,-0.1833621415791029,0.7705116642365591
2.8,C-FVD,5.001972995266754,5.436181669826745,0.044076996784527145,-0.0949072846799259,5.0130307677258985,1.7514631216643273,21.900541789743745,26.9025147850105,6.3220626512422,1.21056811353948,-0.09945821025625534,0.838804413935508
2.9,C-FVD,5.546245091479599,5.4492602544301425,0.13078584603398058,-0.09168043700080841,5.556759488089485,1.8179919139108913,21.994528799222802,27.5407738907024,6.44311946259615,1.63027248991052,-0.005471200777197538,0.9116099522752582
3.0,C-FVD,6.092303111858812,5.471900153154101,0.2263989872395788,-0.08856330214278092,6.102294333732921,1.8835911386854682,22.100934087552687,28.1932371994115,6.6061467115872,1.57742141925065,0.1009340875526874,1.0565937574332387
3.1,C-FVD,6.641203650161827,5.506110612906164,0.34210459752062833,-0.08555214986992637,6.6506910296977635,1.9483514656436594,22.220535327504674,28.8617389776665,6.76388885351226,1.523319409437,0.22053532750467397,1.1122029874200268
